"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Solar  [MW] Intraday / BZN|DE-AT-LU","Generation - Solar  [MW] Current / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-AT-LU"
"02.01.2018 03:30 - 02.01.2018 03:45","0","0","","1559","4725","1409","13527","6642","5691"
"02.01.2018 03:45 - 02.01.2018 04:00","0","0","","1573","4745","1430","13490","6750","5802"
"02.01.2018 04:00 - 02.01.2018 04:15","0","0","","1594","4862","1482","13461","6750","6014"
"02.01.2018 04:15 - 02.01.2018 04:30","0","0","","1628","5084","1610","13453","6816","6096"
"02.01.2018 04:30 - 02.01.2018 04:45","0","0","","1662","5202","1645","13451","6825","6209"
"02.01.2018 04:45 - 02.01.2018 05:00","0","0","","1698","5282","1669","13460","6872","6313"
"02.01.2018 05:00 - 02.01.2018 05:15","0","0","","1725","5377","1708","13500","6882","6356"
"02.01.2018 05:15 - 02.01.2018 05:30","0","0","","1751","5580","1796","13599","6863","6141"
"02.01.2018 05:30 - 02.01.2018 05:45","0","0","","1777","5775","1871","13700","6842","6113"
"02.01.2018 05:45 - 02.01.2018 06:00","0","0","","1809","5923","1866","13802","6818","6050"
"02.01.2018 06:00 - 02.01.2018 06:15","0","0","","1831","6041","1857","13911","6802","5904"
"02.01.2018 06:15 - 02.01.2018 06:30","0","0","","1828","6183","1911","14025","6789","5838"
"02.01.2018 06:30 - 02.01.2018 06:45","0","0","","1829","6281","1915","14126","6735","5901"
"02.01.2018 06:45 - 02.01.2018 07:00","0","0","","1828","6366","1954","14239","6671","6013"
"02.01.2018 07:00 - 02.01.2018 07:15","8","0","","1828","6498","2019","14333","6642","5916"
"02.01.2018 07:15 - 02.01.2018 07:30","8","0","","1815","6583","2054","14384","6612","6123"
"02.01.2018 07:30 - 02.01.2018 07:45","8","0","","1806","6715","2098","14443","6587","6325"
"02.01.2018 07:45 - 02.01.2018 08:00","8","0","","1795","6684","2018","14508","6551","6256"
"02.01.2018 08:00 - 02.01.2018 08:15","21","8","","1774","6632","1922","14562","6531","6130"
"02.01.2018 08:15 - 02.01.2018 08:30","55","29","","1726","6627","1911","14618","6498","6095"
"02.01.2018 08:30 - 02.01.2018 08:45","154","87","","1684","6617","1877","14689","6528","6167"
"02.01.2018 08:45 - 02.01.2018 09:00","303","155","","1642","6496","1764","14749","6539","6291"
"02.01.2018 09:00 - 02.01.2018 09:15","518","246","","1597","6529","1784","14794","6565","6277"
"02.01.2018 09:15 - 02.01.2018 09:30","794","378","","1568","6545","1789","14804","6591","6227"
"02.01.2018 09:30 - 02.01.2018 09:45","1105","533","","1541","6492","1727","14816","6637","6221"
